id,codigo_e,nombre,total_docs,r_tox_genetica,r_tox_endocrina,r_tox_neuro,r_tox_digestiva,r_tox_alergia,r_tox_organos,r_ben_antiox,r_ben_microbiol,r_ben_metabolico,r_mod_humano,r_mod_animal,r_mod_invitro
en:e1400,E1400,Dextrin,520,0.06538461538461539,0.09423076923076923,0.10384615384615385,0.06538461538461539,0.0019230769230769232,0.11923076923076924,0.06346153846153846,0.1673076923076923,0.3173076923076923,0.2923076923076923,0.3211538461538462,0.5153846153846153
en:e359,E359,ammonium adipate,101,0.2376237623762376,0.009900990099009901,0.039603960396039604,0.019801980198019802,0.0,0.0297029702970297,0.0,0.019801980198019802,0.09900990099009901,0.5742574257425742,0.009900990099009901,0.25742574257425743
en:e943a,E943A,Butane,373,0.21983914209115282,0.17962466487935658,0.08042895442359249,0.045576407506702415,0.01876675603217158,0.07238605898123325,0.09115281501340483,0.10723860589812333,0.42359249329758714,0.39946380697050937,0.21447721179624665,0.5093833780160858
en:e472g,E472G,Succinylated monoglycerides,3,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666
en:e341i,E341I,Monocalcium phosphate,47,0.02127659574468085,0.02127659574468085,0.0,0.06382978723404255,0.0,0.0425531914893617,0.0425531914893617,0.10638297872340426,0.2553191489361702,0.2978723404255319,0.1276595744680851,0.48936170212765956
en:e905a,E905A,mineral oil,591,0.1844331641285956,0.038917089678511,0.03722504230118443,0.01015228426395939,0.038917089678511,0.07952622673434856,0.03553299492385787,0.08121827411167512,0.20642978003384094,0.3011844331641286,0.24027072758037224,0.467005076142132
en:e900,E900,Dimethylpolysiloxane and Methylphenylpolysiloxane,41,0.12195121951219512,0.0975609756097561,0.17073170731707318,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.04878048780487805,0.1951219512195122,0.5609756097560976,0.14634146341463414,0.5121951219512195
en:e154,E154,Brown FK,230,0.17391304347826086,0.021739130434782608,0.0782608695652174,0.008695652173913044,0.013043478260869565,0.06521739130434782,0.004347826086956522,0.06956521739130435,0.14347826086956522,0.49130434782608695,0.09565217391304348,0.3130434782608696
en:e1517,E1517,Glyceryl diacetate,16,0.1875,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.5,0.125,0.4375
en:e140ii,E140II,Chlorophyllins,13,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.46153846153846156
en:e340ii,E340II,Dipotassium phosphate,15,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.2,0.26666666666666666,0.0,0.5333333333333333
en:e250,E250,Sodium nitrite,2324,0.2112736660929432,0.027538726333907058,0.08003442340791739,0.008175559380378658,0.015920826161790018,0.1148881239242685,0.28184165232358005,0.22117039586919104,0.10542168674698796,0.19965576592082615,0.40017211703958694,0.48838209982788294
en:e322i,E322I,Lecithin,1302,0.07603686635944701,0.06989247311827956,0.05837173579109063,0.026113671274961597,0.013056835637480798,0.14746543778801843,0.15360983102918588,0.11674347158218126,0.42626728110599077,0.33563748079877115,0.25960061443932414,0.5913978494623656
en:e354,E354,Calcium tartrate,98,0.12244897959183673,0.05102040816326531,0.02040816326530612,0.0,0.01020408163265306,0.05102040816326531,0.01020408163265306,0.030612244897959183,0.12244897959183673,0.46938775510204084,0.07142857142857142,0.37755102040816324
en:e172,E172,Iron oxides and iron hydroxides,335,0.11940298507462686,0.023880597014925373,0.050746268656716415,0.005970149253731343,0.01791044776119403,0.06865671641791045,0.023880597014925373,0.06865671641791045,0.12835820895522387,0.43582089552238806,0.056716417910447764,0.408955223880597
en:e918,E918,Nitrogen oxides,2501,0.16393442622950818,0.024390243902439025,0.060775689724110356,0.009596161535385846,0.06117552978808476,0.04558176729308277,0.1831267493002799,0.06517393042782887,0.25469812075169934,0.4658136745301879,0.1323470611755298,0.6349460215913635
en:e367,E367,Calcium fumarate,126,0.14285714285714285,0.031746031746031744,0.03968253968253968,0.015873015873015872,0.015873015873015872,0.03968253968253968,0.0,0.03968253968253968,0.15873015873015872,0.5158730158730159,0.03968253968253968,0.31746031746031744
en:e452iii,E452III,Sodium calcium polyphosphate,75,0.02666666666666667,0.02666666666666667,0.013333333333333334,0.0,0.02666666666666667,0.04,0.06666666666666667,0.21333333333333335,0.17333333333333334,0.44,0.21333333333333335,0.6666666666666666
en:e336,E336,Potassium tartrates,256,0.16015625,0.05859375,0.0703125,0.0078125,0.0078125,0.08984375,0.05078125,0.1640625,0.23828125,0.37109375,0.24609375,0.48828125
en:e428,E428,Gelatine,425,0.11764705882352941,0.04941176470588235,0.05411764705882353,0.01411764705882353,0.03764705882352941,0.047058823529411764,0.0611764705882353,0.1011764705882353,0.19058823529411764,0.36,0.1623529411764706,0.48
en:e214,E214,Ethyl p-hydroxybenzoate,315,0.13333333333333333,0.15555555555555556,0.044444444444444446,0.012698412698412698,0.02857142857142857,0.06349206349206349,0.05714285714285714,0.473015873015873,0.17142857142857143,0.4444444444444444,0.07301587301587302,0.473015873015873
en:e163f,E163F,Petunidin,144,0.13194444444444445,0.013888888888888888,0.04861111111111111,0.027777777777777776,0.0,0.020833333333333332,0.4513888888888889,0.06944444444444445,0.4513888888888889,0.3611111111111111,0.1388888888888889,0.7361111111111112
en:e160bi,E160BI,Annatto bixin,61,0.13114754098360656,0.01639344262295082,0.01639344262295082,0.0,0.01639344262295082,0.11475409836065574,0.8688524590163934,0.09836065573770492,0.11475409836065574,0.16393442622950818,0.2786885245901639,0.6229508196721312
en:e310,E310,Propyl gallate,375,0.22933333333333333,0.04,0.064,0.008,0.021333333333333333,0.10666666666666667,0.5066666666666667,0.208,0.17066666666666666,0.328,0.18933333333333333,0.456
en:e528,E528,Magnesium hydroxide,237,0.11814345991561181,0.0379746835443038,0.02531645569620253,0.004219409282700422,0.012658227848101266,0.03375527426160337,0.02531645569620253,0.0970464135021097,0.189873417721519,0.42616033755274263,0.12236286919831224,0.4641350210970464
en:e472c,E472C,Citric acid esters of mono- and diglycerides of fatty acids,3,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
en:e1510,E1510,Ethanol,32346,0.10093983800160762,0.05976009398380016,0.16549186916465713,0.023526865763927533,0.008996475607493972,0.1255796698200705,0.1285784950225685,0.6382242008285414,0.32003957212638345,0.327212020033389,0.3064057379583256,0.5077907623817474
en:e308,E308,Gamme-tocopherol,139,0.1510791366906475,0.03597122302158273,0.05755395683453238,0.007194244604316547,0.03597122302158273,0.06474820143884892,0.014388489208633094,0.06474820143884892,0.1366906474820144,0.43884892086330934,0.04316546762589928,0.302158273381295
en:e222,E222,Sodium bisulphite,171,0.18128654970760233,0.023391812865497075,0.06432748538011696,0.005847953216374269,0.017543859649122806,0.05263157894736842,0.04093567251461988,0.07602339181286549,0.14035087719298245,0.5029239766081871,0.04093567251461988,0.3333333333333333
en:e110,E110,Sunset yellow FCF,377,0.09814323607427056,0.021220159151193633,0.0636604774535809,0.005305039787798408,0.026525198938992044,0.03183023872679045,0.034482758620689655,0.03183023872679045,0.09283819628647215,0.38726790450928383,0.07957559681697612,0.38461538461538464
en:e1102,E1102,Glucose oxidase,4229,0.08890990777961694,0.04776542917947505,0.027429652400094585,0.005202175455190352,0.0035469378103570584,0.026956727358713645,0.09671317096240246,0.27666114920785057,0.11255615984866399,0.15228186332466304,0.16907070229368645,0.6902340978954835
en:e350i,E350I,Sodium malate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
en:e946,E946,octafluorocyclobutane,35,0.17142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.05714285714285714,0.14285714285714285,0.5142857142857142,0.17142857142857143,0.45714285714285713
en:e640,E640,Glycine and its sodium salt,341,0.06158357771260997,0.05571847507331378,0.11730205278592376,0.011730205278592375,0.026392961876832845,0.09970674486803519,0.07917888563049853,0.12316715542521994,0.187683284457478,0.24633431085043989,0.2404692082111437,0.4897360703812317
en:e161b,E161B,Lutein,2293,0.18447448757086785,0.05015263846489315,0.05887483645878761,0.009594417793283908,0.006977758395115569,0.05015263846489315,0.6402093327518534,0.032272132577409504,0.5438290449193197,0.6223288268643699,0.08634976013955517,0.6070649803750545
en:e219,E219,Sodium methyl p-hydroxybenzoate,270,0.14074074074074075,0.05185185185185185,0.040740740740740744,0.003703703703703704,0.022222222222222223,0.040740740740740744,0.03333333333333333,0.29259259259259257,0.0962962962962963,0.4185185185185185,0.037037037037037035,0.40370370370370373
en:e225,E225,Calcium Disulphite,190,0.15263157894736842,0.042105263157894736,0.03684210526315789,0.0,0.031578947368421054,0.04736842105263158,0.010526315789473684,0.06315789473684211,0.1368421052631579,0.5157894736842106,0.02631578947368421,0.3526315789473684
en:e963,E963,Tagatose,352,0.03977272727272727,0.03409090909090909,0.011363636363636364,0.045454545454545456,0.005681818181818182,0.08522727272727272,0.048295454545454544,0.0625,0.2528409090909091,0.23295454545454544,0.16477272727272727,0.4318181818181818
en:e241,E241,Gum Guaicum,168,0.13690476190476192,0.05357142857142857,0.047619047619047616,0.011904761904761904,0.02976190476190476,0.05357142857142857,0.0,0.08333333333333333,0.10119047619047619,0.4642857142857143,0.023809523809523808,0.30357142857142855
en:e905cii,E905CII,Paraffin wax,172,0.2616279069767442,0.05232558139534884,0.05813953488372093,0.005813953488372093,0.0,0.06976744186046512,0.011627906976744186,0.06976744186046512,0.27325581395348836,0.4476744186046512,0.1744186046511628,0.5581395348837209
en:e504,E504,Magnesium carbonates,87,0.21839080459770116,0.08045977011494253,0.034482758620689655,0.0,0.011494252873563218,0.022988505747126436,0.022988505747126436,0.022988505747126436,0.19540229885057472,0.5057471264367817,0.09195402298850575,0.41379310344827586
en:e1001,E1001,Choline salt,45,0.13333333333333333,0.06666666666666667,0.08888888888888889,0.0,0.0,0.044444444444444446,0.022222222222222223,0.0,0.08888888888888889,0.5555555555555556,0.13333333333333333,0.4
en:e404,E404,Calcium alginate,476,0.0819327731092437,0.058823529411764705,0.018907563025210083,0.012605042016806723,0.004201680672268907,0.03571428571428571,0.04831932773109244,0.15966386554621848,0.18067226890756302,0.2668067226890756,0.14705882352941177,0.4327731092436975
en:e450iii,E450III,Tetrasodium diphosphate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:e312,E312,Dodecyl gallate,168,0.22023809523809523,0.03571428571428571,0.05357142857142857,0.005952380952380952,0.05952380952380952,0.06547619047619048,0.1488095238095238,0.10714285714285714,0.07738095238095238,0.5059523809523809,0.07738095238095238,0.30952380952380953
en:e1405,E1405,Enzyme treated starch,585,0.14871794871794872,0.1282051282051282,0.04957264957264957,0.05299145299145299,0.006837606837606838,0.17094017094017094,0.19316239316239317,0.12307692307692308,0.4205128205128205,0.3247863247863248,0.40683760683760684,0.5948717948717949
