nombre_limpio,total_docs,riesgo_cronico,riesgo_agudo,microbiota,beneficio,evidencia_humana
Stannous chloride,845,133,45,2,244,231
Magnesium carbonate,896,37,23,16,110,168
Lactic acid,90130,9742,5310,5488,16555,25957
Benzole peroxide,1468,270,51,3,647,155
Black 7984,61,7,0,0,11,40
Succistearin,1,0,0,0,0,0
Magnesium pyrophosphate,176,9,1,0,19,15
Silver,152088,18292,6486,738,18013,40055
Plain caramel,5,2,0,1,0,3
Calcium malates,872,45,8,3,176,128
Brown ht,25,4,0,0,0,3
Xanthophylls,6576,895,711,112,4226,1676
Adipic acid,1445,105,49,29,259,173
Synthetic magnesium silicate,73,8,0,0,9,7
Hydroxypropyl cellulose,981,55,56,7,151,111
Thiabendazole,2885,303,126,8,248,347
Monopotassium tartrate,1,0,0,0,0,0
Shellac,442,21,40,3,109,66
Caramel,804,109,21,13,96,204
Lycopene,7546,1934,678,81,6349,2911
Beta-carotene,19653,4338,1022,129,14155,7392
Buffered vinegar,18,1,0,4,3,3
Lactylated fatty acid esters of glycerol and propane-1,0,0,0,0,0,0
ferrous hexacyanomanganate,0,0,0,0,0,0
calcium gluconate,2249,0,74,9,298,598
Sodium malates,2144,162,318,4,606,528
calcium glycerophosphate,131,2,3,3,57,50
Glycine,120326,12670,4632,1658,18544,20803
Flavoxanthin,13,2,0,0,10,1
Spermaceti,49,1,0,0,2,3
Sodium stearoyl-2-lactylate,30,1,1,2,0,2
Hydroxypropyl starch,97,4,2,3,15,4
E543 food additive,6,1,1,0,2,0
Propane-1‚2-diol alginate,240,14,15,2,55,64
Nitrogen,347631,27149,12243,8975,54118,48664
Ferrous carbonate,37,1,1,0,3,3
Tertiary-butylhydroquinone (tbhq),80,22,8,0,75,8
Brominated vegetable oil,17,1,0,0,0,2
Scarlet GN,3,0,0,0,1,1
Distarch phosphate,74,3,0,2,10,8
Copper complexes of chlorophylls and chlorophyllins,49,25,5,1,40,15
Trisodium citrate,824,57,21,5,109,221
Disodium guanylate,15,1,0,0,2,7
Isobutane,528,29,2,0,24,40
sodium lactate,1312,92,55,14,218,365
petroleum jelly,414,27,45,3,80,143
Calcium phosphates,16372,1196,733,35,2293,4987
Sodium diacetate,171,3,0,3,22,39
Beta-carotene from blakeslea trispora,103,5,2,0,67,5
Azorubine,62,4,7,0,7,7
Benzoic acid,13656,1749,802,177,3203,2057
Exxx food additive,384129,36938,20776,6682,73632,86501
Guaiacum,57,9,5,0,9,11
Sodium carboxy methyl cellulose,55,5,7,2,16,9
Glycyrrhizin,2293,441,714,42,1649,586
Potassium alginate,21,0,2,1,4,1
Formic acid,18778,1386,364,159,2144,2958
Carbonates,13346,455,126,90,1481,1213
Glyceryl triacetate,51,8,9,4,17,7
Lecithins,2928,213,169,46,680,519
Black iron oxide,27,4,2,0,4,9
Beta-apo-8′-carotenal (c30),11,1,0,0,7,0
Malvidin,1166,116,104,19,515,208
Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids,2,0,0,0,0,0
Sodium ethyl p-hydroxybenzoate,5,0,0,0,1,1
Monocalcium citrate,1,0,0,0,0,1
Polyvinylpolypyrrolidone,272,15,8,5,54,22
Cochineal,237,21,44,3,33,25
Potassium benzoate,34,3,1,0,5,7
Oat lecithin,12,0,1,0,1,4
Sodium carbonates,28,0,0,2,3,0
