nombre_final,total_docs,riesgo_cronico,riesgo_agudo,microbiota,beneficio,evidencia_humana
Monopotassium citrate,-0.7221060164582147,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-0.6998710153017675,-0.6777906310049805
Polyglycitol syrup,-1.4499261535707086,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-1.226894920492835
Acetylated distarch glycerol,-1.6740137091272762,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-1.226894920492835
Dicalcium diphosphate,-0.563839968185315,-0.8537542684995382,-0.5520294721173432,-0.7872651323057321,-0.6384968623016296,-0.6155865856496346
Hydroxy propyl distarch glycerine,-1.6740137091272762,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-1.226894920492835
Pectins,1.2892867102827952,1.2179841775438804,1.3968458650390179,2.0741172597429243,1.3452476387814942,1.1828594499073093
Extracts of rosemary,-0.48143585149614637,-0.2713599313446798,-0.4424405442151025,-0.27119388993922744,-0.10813056133949375,-0.47725094164636456
E101a food additive,-1.4499261535707086,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.008318181723272,-1.226894920492835
Advantame,-0.48962084576917647,-0.35210709136495905,-0.5520294721173432,0.05441081183238732,-0.774986907795104,-0.2809495388129742
Monosodium tartrate,-0.5967452959505541,-0.6029306799322486,-0.5520294721173432,-0.7872651323057321,-0.5020068168081552,-0.47725094164636456
Calcium benzoate,-1.0017510424575735,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.008318181723272,-0.9904085750728697
Dipotassium guanylate,-1.6740137091272762,-1.1045778570668279,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-1.226894920492835
Natamycin,0.6670476337300649,0.29626247937779626,0.6532829474744848,0.3391420681799595,0.45172609507483613,0.7557366687160285
Magnesium trisilicate,0.3956621342213811,0.11391836932276252,-0.09339092114664052,-0.13605572876250271,0.38636815745222686,0.502502044086317
Ethyl methyl cellulose,-1.4499261535707086,-0.8537542684995382,-0.9705322375809257,-0.7872651323057321,-1.2416494556514401,-0.9904085750728697
Metatartaric acid,-0.8208328515071216,-1.1045778570668279,-0.706486390898014,-0.7872651323057321,-0.774986907795104,-0.9904085750728697
Silicon dioxide,1.8002215751812316,2.071350601643742,1.8933813406962359,1.679981321442484,1.7382903043517048,1.82259820175676
Triphosphates,1.1152806354342986,1.4127312239181762,0.6478794861874989,0.12682282985790874,0.8215474144964787,1.0187451314535174
Pelargonidin,0.5543084423816188,0.5963471216450744,0.73070023291061,0.6856279093416338,0.8042421628857548,0.525324863782185
Vegetable carbon,-0.7985281457304209,-0.5221835199119695,-0.706486390898014,-0.7872651323057321,-0.5416556338669358,-0.8520729310695998
